GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G3900850LC0006,STCTY-39085 TRACT- LC 0006     IN CLEVELAND OH ADJ AREA,289,284,5,234,5,0,0
G39009500001,STCTY-39095 TRACT-    0001     IN TOLEDO OH,4852,4850,2,4638,2,6197,60.83
G39009500002,STCTY-39095 TRACT-    0002     IN TOLEDO OH,4375,4374,1,4135,1,5699,52.95
G39009500003,STCTY-39095 TRACT-    0003     IN TOLEDO OH,3775,3770,5,3604,5,5647,53.54
G39009500004,STCTY-39095 TRACT-    0004     IN TOLEDO OH,3964,3964,0,3747,0,4482,41.84
G39009500005,STCTY-39095 TRACT-    0005     IN TOLEDO OH,1090,1090,0,987,0,2786,30.23
G39009500006,STCTY-39095 TRACT-    0006     IN TOLEDO OH,5587,5585,2,5284,1,4937,46.75
G39009500007,STCTY-39095 TRACT-    0007     IN TOLEDO OH,5947,5947,0,5628,0,3839,42.17
G39009500008,STCTY-39095 TRACT-    0008     IN TOLEDO OH,4300,4295,5,4086,2,4281,38.36
G39009500009,STCTY-39095 TRACT-    0009     IN TOLEDO OH,4722,4722,0,3910,0,3235,34.5
G39009500010,STCTY-39095 TRACT-    0010     IN TOLEDO OH,6132,6124,8,4692,8,3169,24.5
G39009500011,STCTY-39095 TRACT-    0011     IN TOLEDO OH,3502,3309,193,3085,182,3355,33.13
G39009500012,STCTY-39095 TRACT-    0012     IN TOLEDO OH,3851,3479,372,3244,372,2392,24.9
G39009500013,STCTY-39095 TRACT-    0013     IN TOLEDO OH,5342,5335,7,5042,7,7968,56.24
G39009500014,STCTY-39095 TRACT-    0014     IN TOLEDO OH,4501,4491,10,4221,1,3621,35.09
G39009500015,STCTY-39095 TRACT-    0015     IN TOLEDO OH,5122,5120,2,4848,1,3368,32.08
G39009500016,STCTY-39095 TRACT-    0016     IN TOLEDO OH,6862,6852,10,6303,10,5711,48.31
G39009500017,STCTY-39095 TRACT-    0017     IN TOLEDO OH,5642,5642,0,4955,0,2503,27.76
G39009500018,STCTY-39095 TRACT-    0018     IN TOLEDO OH,6432,6421,11,5387,11,2527,26.77
G39009500019,STCTY-39095 TRACT-    0019     IN TOLEDO OH,3593,3271,322,2830,322,2229,31.61
G39009500020,STCTY-39095 TRACT-    0020     IN TOLEDO OH,4859,4850,9,4514,9,2682,29.27
G39009500021,STCTY-39095 TRACT-    0021     IN TOLEDO OH,6612,6595,17,6214,17,5917,46.92
G39009500022,STCTY-39095 TRACT-    0022     IN TOLEDO OH,6063,6049,14,5166,12,3943,37.77
G39009500023,STCTY-39095 TRACT-    0023     IN TOLEDO OH,5611,5105,506,4483,505,2857,26.65
G39009500024,STCTY-39095 TRACT-    0024     IN TOLEDO OH,6554,6524,30,6128,21,5208,45.18
G39009500025,STCTY-39095 TRACT-    0025     IN TOLEDO OH,6937,6931,6,6444,6,3017,31.92
G39009500026,STCTY-39095 TRACT-    0026     IN TOLEDO OH,6804,6219,585,5818,577,3334,33.95
G39009500027,STCTY-39095 TRACT-    0027     IN TOLEDO OH,4323,4306,17,4045,12,3545,26.5
G39009500028,STCTY-39095 TRACT-    0028     IN TOLEDO OH,4709,4329,380,3861,325,0,21.37
G39009500029,STCTY-39095 TRACT-    0029     IN TOLEDO OH,5197,5172,25,4433,17,2648,20.72
G39009500030,STCTY-39095 TRACT-    0030     IN TOLEDO OH,6970,6950,20,6202,10,2452,27.1
G39009500031,STCTY-39095 TRACT-    0031     IN TOLEDO OH,2769,2769,0,2510,0,3102,30.3
G39009500032,STCTY-39095 TRACT-    0032     IN TOLEDO OH,5193,5184,9,4468,9,2517,24.94
G39009500033,STCTY-39095 TRACT-    0033     IN TOLEDO OH,6521,3066,3455,2700,3454,2487,30.5
G39009500034,STCTY-39095 TRACT-    0034     IN TOLEDO OH,6557,3002,3555,2744,3545,2840,19.92
G39009500035,STCTY-39095 TRACT-    0035     IN TOLEDO OH,4902,4902,0,3944,0,2376,22.2
G39009500036,STCTY-39095 TRACT-    0036     IN TOLEDO OH,6124,5284,840,4561,840,2407,27.38
G39009500037,STCTY-39095 TRACT-    0037     IN TOLEDO OH,3957,996,2961,836,2951,2129,23.21
G39009500038,STCTY-39095 TRACT-    0038     IN TOLEDO OH,2602,2593,9,2459,8,2195,25.57
G39009500039,STCTY-39095 TRACT-    0039     IN TOLEDO OH,5946,5943,3,5619,0,3806,34.36
G39009500040,STCTY-39095 TRACT-    0040     IN TOLEDO OH,4099,3798,301,3514,301,2799,29.83
G39009500041,STCTY-39095 TRACT-    0041     IN TOLEDO OH,4076,4075,1,3866,1,2412,26.86
G39009500042,STCTY-39095 TRACT-    0042     IN TOLEDO OH,4240,4196,44,3929,44,3053,33.42
G39009500043,STCTY-39095 TRACT-    0043     IN TOLEDO OH,6435,6299,136,5601,134,4763,41.63
G39009500044,STCTY-39095 TRACT-    0044     IN TOLEDO OH,4744,4743,1,4546,1,4118,40.82
G39009500045,STCTY-39095 TRACT-    0045     IN TOLEDO OH,5128,5118,10,4935,8,6228,47.08
G39009500046,STCTY-39095 TRACT-    0046     IN TOLEDO OH,6127,5928,199,4474,199,2292,24.76
G39009500047,STCTY-39095 TRACT-    0047     IN TOLEDO OH,8246,8223,23,7219,19,3168,32.38
G39009500048,STCTY-39095 TRACT-    0048     IN TOLEDO OH,6305,6295,10,5765,10,3229,31.27
G39009500049,STCTY-39095 TRACT-    0049     IN TOLEDO OH,5176,5176,0,4806,0,2908,30.65
G39009500050,STCTY-39095 TRACT-    0050     IN TOLEDO OH,2504,2498,6,2344,5,2942,34.16
G39009500051,STCTY-39095 TRACT-    0051     IN TOLEDO OH,7332,7144,188,6750,184,2942,27.28
G39009500052,STCTY-39095 TRACT-    0052     IN TOLEDO OH,4472,4448,24,4042,24,3003,29.53
G39009500053,STCTY-39095 TRACT-    0053     IN TOLEDO OH,3431,3008,423,2630,421,2797,29.53
G39009500054,STCTY-39095 TRACT-    0054     IN TOLEDO OH,6426,6425,1,6053,1,2683,32.25
G39009500055,STCTY-39095 TRACT-    0055     IN TOLEDO OH,4807,4805,2,4593,2,3742,32.83
G390113000011,STCTY-39113 TRACT-    0001-1   IN DAYTON OH,4387,4340,47,4202,36,0,27.92
G390113000012,STCTY-39113 TRACT-    0001-2   IN DAYTON OH,3123,2645,478,2494,478,0,20.88
G390113000013,STCTY-39113 TRACT-    0001-3   IN DAYTON OH,2330,2304,26,2191,23,0,25.8
G390113000014,STCTY-39113 TRACT-    0001-4   IN DAYTON OH,2108,1536,572,1490,566,0,22.63
G390113000021,STCTY-39113 TRACT-    0002-1   IN DAYTON OH,3742,3740,2,3364,2,2735,27.2
G390113000022,STCTY-39113 TRACT-    0002-2   IN DAYTON OH,8991,8883,108,7743,108,3254,29.07
G390113000031,STCTY-39113 TRACT-    0003-1   IN DAYTON OH,3185,3182,3,3054,3,3767,34.33
G390113000032,STCTY-39113 TRACT-    0003-2   IN DAYTON OH,2650,2643,7,2572,7,3643,39.32
G390113000033,STCTY-39113 TRACT-    0003-3   IN DAYTON OH,3443,3434,9,3346,9,3841,37.13
G390113000041,STCTY-39113 TRACT-    0004-1   IN DAYTON OH,4439,4439,0,4320,0,5464,47.82
G390113000042,STCTY-39113 TRACT-    0004-2   IN DAYTON OH,4386,4335,51,4188,51,5232,46.4
G390113000043,STCTY-39113 TRACT-    0004-3   IN DAYTON OH,6871,6867,4,6715,4,6282,52.38
G390113000051,STCTY-39113 TRACT-    0005-1   IN DAYTON OH,7929,7892,37,7608,33,7096,52.38
G390113000052,STCTY-39113 TRACT-    0005-2   IN DAYTON OH,6186,6155,31,5732,31,8721,55.81
G390113000061,STCTY-39113 TRACT-    0006-1   IN DAYTON OH,3240,2936,304,2827,304,4123,32.49
G390113000062,STCTY-39113 TRACT-    0006-2   IN DAYTON OH,999,777,222,703,222,0,20.25
G390113000063,STCTY-39113 TRACT-    0006-3   IN DAYTON OH,3903,3893,10,3548,10,6150,46.76
G390113000064,STCTY-39113 TRACT-    0006-4   IN DAYTON OH,1383,1382,1,1259,1,5167,50.71
G390113000071,STCTY-39113 TRACT-    0007-1   IN DAYTON OH,2604,2572,32,2475,32,3058,31.7
G390113000072,STCTY-39113 TRACT-    0007-2   IN DAYTON OH,9800,9788,12,9436,12,3660,38.2
G390113000073,STCTY-39113 TRACT-    0007-3   IN DAYTON OH,1053,1053,0,1015,0,4535,0
G390113000081,STCTY-39113 TRACT-    0008-1   IN DAYTON OH,13409,4126,9283,3900,9283,2363,24.45
G390113000082,STCTY-39113 TRACT-    0008-2   IN DAYTON OH,5912,2391,3521,2343,3521,2739,26.99
G390113000083,STCTY-39113 TRACT-    0008-3   IN DAYTON OH,6044,2294,3750,2230,3750,2369,25.47
G390113000084,STCTY-39113 TRACT-    0008-4   IN DAYTON OH,1970,1879,91,1835,90,3104,32.83
G390113000085,STCTY-39113 TRACT-    0008-5   IN DAYTON OH,1121,1082,39,1037,39,2500,28.09
G390113000086,STCTY-39113 TRACT-    0008-6   IN DAYTON OH,3013,2690,323,2105,323,2496,24.93
G390113000091,STCTY-39113 TRACT-    0009-1   IN DAYTON OH,3632,3401,231,3257,231,2908,28.44
G390113000092,STCTY-39113 TRACT-    0009-2   IN DAYTON OH,920,767,153,741,153,3438,31.89
G390113000093,STCTY-39113 TRACT-    0009-3   IN DAYTON OH,1901,1901,0,1872,0,3472,31.89
G390113000101,STCTY-39113 TRACT-    0010-1   IN DAYTON OH,10311,10151,160,9748,159,3017,23.78
G3901130001010,STCTY-39113 TRACT-    0010-10  IN DAYTON OH,5078,5076,2,4880,2,3648,33.65
G390113000102,STCTY-39113 TRACT-    0010-2   IN DAYTON OH,4028,4021,7,3860,7,3874,38.1
G390113000103,STCTY-39113 TRACT-    0010-3   IN DAYTON OH,4224,4220,4,4038,3,3051,31.27
G390113000104,STCTY-39113 TRACT-    0010-4   IN DAYTON OH,2401,2395,6,2271,3,3745,32.73
G390113000105,STCTY-39113 TRACT-    0010-5   IN DAYTON OH,7137,7124,13,6760,12,2886,27.18
G390113000106,STCTY-39113 TRACT-    0010-6   IN DAYTON OH,2493,2492,1,2402,1,2690,24.52
G390113000107,STCTY-39113 TRACT-    0010-7   IN DAYTON OH,3336,3252,84,2972,84,2481,25.59
G390113000108,STCTY-39113 TRACT-    0010-8   IN DAYTON OH,5950,5875,75,5687,75,3179,30.93
G390113000109,STCTY-39113 TRACT-    0010-9   IN DAYTON OH,4644,4644,0,4440,0,2907,32.04
G390113000111,STCTY-39113 TRACT-    0011-1   IN DAYTON OH,1056,675,381,629,381,0,19.84
G390113000112,STCTY-39113 TRACT-    0011-2   IN DAYTON OH,7231,7179,52,6876,52,3195,35.08
G390113000113,STCTY-39113 TRACT-    0011-3   IN DAYTON OH,971,944,27,870,27,3711,36.64
G390113000114,STCTY-39113 TRACT-    0011-4   IN DAYTON OH,2110,2110,0,2015,0,4616,42.44
G390113000115,STCTY-39113 TRACT-    0011-5   IN DAYTON OH,1396,1396,0,1332,0,3340,34.97
G390113000116,STCTY-39113 TRACT-    0011-6   IN DAYTON OH,1201,1196,5,1151,5,4756,38.6
G390113000121,STCTY-39113 TRACT-    0012-1   IN DAYTON OH,2936,2935,1,2818,1,4900,43.5
G390113000122,STCTY-39113 TRACT-    0012-2   IN DAYTON OH,4679,4679,0,4537,0,4876,43.13
G390113000123,STCTY-39113 TRACT-    0012-3   IN DAYTON OH,3739,3739,0,3596,0,4520,43.54
G390113000124,STCTY-39113 TRACT-    0012-4   IN DAYTON OH,2319,2183,136,2019,136,0,0
G390113000125,STCTY-39113 TRACT-    0012-5   IN DAYTON OH,2762,2762,0,2678,0,4051,42
